event_id,merchant_id,event_timestamp,product,event_type,amount,status,channel,region,merchant_tier
3063bc42-db42-42ff-bb2f-42575b23a94f,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
65d01b2c-6790-4282-85c3-35507fc0ab38,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
71491398-370f-40ac-9d93-26ca0c97377f,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
a5bc1975-f252-4cb4-a46e-843756e5a5a1,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
7cf567e9-2bc5-48b5-ad02-6bfa92af87b5,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
95a6e4b7-8b5d-462f-8ac4-5f37cf95c112,MRC-000001,,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
a43cf006-cd1f-49b4-a00b-53e239def029,MRC-000001,2024-01-01T10:00:00,POS,CARD_TRANSACTION,INVALID,SUCCESS,POS,LAGOS,VERIFIED
0e0627f8-3a62-451a-ace4-ff609dbfef28,,2024-01-01T10:00:00,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
9cd8cb0d-575b-49eb-845c-524ffbbdad5e,MRC-000001,2024-01-01T10:00:00,POS,CARD_TRANSACTION,INVALID,SUCCESS,POS,LAGOS,VERIFIED
e3a2622e-4785-4c2c-886f-7b8056ffff11,,2024-01-01T10:00:00,POS,CARD_TRANSACTION,1000.00,SUCCESS,POS,LAGOS,VERIFIED
d61b584e-42e1-43ee-a1d7-72292ad1449c,MRC-000001,2024-01-01T10:00:00,POS,CARD_TRANSACTION,INVALID,SUCCESS,POS,LAGOS,VERIFIED
daa20871-4f26-462e-a393-ee882dfa9be2,MRC-000001,2024-01-01T10:00:00,POS,CARD_TRANSACTION,INVALID,SUCCESS,POS,LAGOS,VERIFIED
b27366e4-1b22-4b20-98d4-e047d7354c92,MRC-000001,2024-01-01T10:00:00,POS,CARD_TRANSACTION,INVALID,SUCCESS,POS,LAGOS,VERIFIED
18a07dc3-c16b-4e11-b080-188549a7f865,MRC-008706,2024-01-10T00:00:22,AIRTIME,DATA_PURCHASE,1817.39,PENDING,WEB,PORT_HARCOURT,PREMIUM
bb408d4b-eac0-4f8b-be42-095cdb399129,MRC-006278,2024-01-10T00:01:19,BILLS,BETTING,26232.04,SUCCESS,POS,PORT_HARCOURT,VERIFIED
1308d99b-20f3-4965-9581-cc79a9625c60,MRC-006018,2024-01-10T00:01:32,POS,TRANSFER,73073.75,SUCCESS,POS,RIVERS,PREMIUM
c3bdec7e-0459-4d32-8cdb-dacccd267b01,MRC-005021,2024-01-10T00:01:45,POS,CARD_TRANSACTION,31922.01,SUCCESS,POS,IBADAN,STARTER
a180bd7d-43e1-4243-8023-7411a91fb9b4,MRC-004077,2024-01-10T00:01:57,BILLS,ELECTRICITY,31973.71,SUCCESS,WEB,ABUJA,PREMIUM
501df20a-398e-4dad-bc51-777e8f2f6de4,MRC-004631,2024-01-10T00:02:00,AIRTIME,AIRTIME_PURCHASE,759.18,FAILED,POS,DELTA,VERIFIED
79b46e69-6224-42f2-bcc8-f2131801ce15,MRC-003388,2024-01-10T00:02:02,BILLS,BETTING,33587.17,SUCCESS,WEB,OGUN,STARTER
a287d8e5-477f-4928-a397-273061897e61,MRC-009456,2024-01-10T00:02:07,KYC,DOCUMENT_SUBMITTED,0.0,SUCCESS,APP,KADUNA,PREMIUM
f3b3ae83-6564-427c-b626-7f3553bff8fa,MRC-001420,2024-01-10T00:02:27,CARD_PAYMENT,SUPPLIER_PAYMENT,35163.18,SUCCESS,WEB,DELTA,VERIFIED
a9171eb4-c9c0-4c77-99ea-c14ba06738ac,MRC-003378,2024-01-10T00:03:19,AIRTIME,AIRTIME_PURCHASE,3463.8,SUCCESS,APP,IBADAN,VERIFIED
6b96d54e-ed2a-47a8-8320-293de9ae07d9,MRC-000889,2024-01-10T00:03:20,SAVINGS,DEPOSIT,52485.43,SUCCESS,USSD,OGUN,STARTER
2fe954ed-0976-441e-a5b3-9bde211bc5d4,MRC-005677,2024-01-10T00:03:22,MONIEBOOK,SALE_RECORDED,63516.18,SUCCESS,WEB,ENUGU,VERIFIED
f9c2c970-ce37-4828-ab3a-87956310c3cd,MRC-004285,2024-01-10T00:03:28,SAVINGS,INTEREST_CREDIT,89195.45,SUCCESS,APP,RIVERS,VERIFIED
df6f5794-1021-488f-9bc4-a64f1a76698c,MRC-000210,2024-01-10T00:03:42,POS,CARD_TRANSACTION,262638.08,SUCCESS,POS,ENUGU,VERIFIED
46626294-03f4-41a0-b91e-74da25902313,MRC-001071,2024-01-10T00:04:00,AIRTIME,AIRTIME_PURCHASE,9212.53,SUCCESS,WEB,OGUN,VERIFIED
685aa687-6567-431f-9e3a-a3419091852f,MRC-006303,2024-01-10T00:04:03,CARD_PAYMENT,INVOICE_PAYMENT,376222.54,SUCCESS,WEB,RIVERS,VERIFIED
eec25417-366f-42f2-9506-db4dcd79f6a4,MRC-003666,2024-01-10T00:04:22,AIRTIME,AIRTIME_PURCHASE,9307.62,SUCCESS,APP,PORT_HARCOURT,PREMIUM
81dd46fb-2786-4fbc-bf7e-47c1c5149db9,MRC-002902,2024-01-10T00:04:36,KYC,VERIFICATION_COMPLETED,0.0,SUCCESS,APP,ENUGU,PREMIUM
83574069-c0fd-45fd-9bf3-e50d3f0ba555,MRC-007394,2024-01-10T00:04:38,POS,CARD_TRANSACTION,31839.19,SUCCESS,POS,ENUGU,VERIFIED
3811ad12-db0c-4403-9aa6-c2a17f3a4ac0,MRC-003251,2024-01-10T00:05:01,AIRTIME,AIRTIME_PURCHASE,182.54,SUCCESS,POS,PORT_HARCOURT,PREMIUM
c01c2653-3986-437a-affe-83840a95f5ff,MRC-004453,2024-01-10T00:05:17,BILLS,CABLE_TV,1557.81,SUCCESS,USSD,RIVERS,STARTER
c6e1d216-2a88-4aa4-b17c-803de43ab83a,MRC-002302,2024-01-10T00:05:29,CARD_PAYMENT,SUPPLIER_PAYMENT,85664.75,SUCCESS,APP,ABUJA,STARTER
ae234c54-ae4c-4a09-ad9a-5361c1d122fe,MRC-000002,2024-01-10T00:05:41,SAVINGS,INTEREST_CREDIT,61812.75,SUCCESS,WEB,OGUN,VERIFIED
dc18bc0e-6dd4-473b-a5c9-d1bc3f92da6f,MRC-000715,2024-01-10T00:05:41,AIRTIME,AIRTIME_PURCHASE,2080.0,SUCCESS,APP,RIVERS,VERIFIED
cb529167-c1ae-40cb-aa33-5044af984ea7,MRC-008380,2024-01-10T00:05:41,POS,TRANSFER,60943.71,SUCCESS,POS,DELTA,VERIFIED
01f8973c-f8d6-4055-a19b-4b9c32bd260b,MRC-009181,2024-01-10T00:06:16,CARD_PAYMENT,SUPPLIER_PAYMENT,783689.18,SUCCESS,POS,LAGOS,PREMIUM
84efc18a-ddba-4115-a41b-7b6181bb2a9e,MRC-001216,2024-01-10T00:07:17,KYC,VERIFICATION_COMPLETED,0.0,SUCCESS,WEB,ENUGU,PREMIUM
31345307-2281-4eec-8341-fc64b29f6d97,MRC-006235,2024-01-10T00:08:25,KYC,DOCUMENT_SUBMITTED,0.0,FAILED,WEB,LAGOS,PREMIUM
d267817d-4b92-4b76-85af-3a64d2354475,MRC-000006,2024-01-10T00:08:38,MONIEBOOK,INVENTORY_UPDATE,87776.59,SUCCESS,APP,OGUN,VERIFIED
2bf2b780-3375-4b07-ae3d-5a1a2f625ef4,MRC-009574,2024-01-10T00:08:45,SAVINGS,WITHDRAWAL,104618.49,SUCCESS,USSD,IBADAN,STARTER
542e6a6a-0856-48f5-a94c-dfd60674e823,MRC-004213,2024-01-10T00:08:49,AIRTIME,DATA_PURCHASE,2543.33,SUCCESS,POS,DELTA,VERIFIED
d7b2ad07-a93a-4020-a774-4b02e8fdb174,MRC-006354,2024-01-10T00:08:59,POS,CASH_WITHDRAWAL,47828.52,SUCCESS,POS,RIVERS,VERIFIED
7b448477-9db5-4c28-ae9b-a01f2eab0e94,MRC-005994,2024-01-10T00:09:08,MONIEBOOK,SALE_RECORDED,24344.89,SUCCESS,APP,RIVERS,STARTER
1ab2792b-9d31-4b92-9e08-11279ae3bfbd,MRC-009052,2024-01-10T00:09:13,CARD_PAYMENT,INVOICE_PAYMENT,131157.93,SUCCESS,APP,RIVERS,VERIFIED
51cb5ebf-648c-4390-b933-c63de844cf2a,MRC-004065,2024-01-10T00:09:13,AIRTIME,AIRTIME_PURCHASE,9631.03,SUCCESS,POS,IBADAN,STARTER
6b1b3bc0-7407-4f5d-879a-e90081d54475,MRC-002290,2024-01-10T00:09:17,SAVINGS,DEPOSIT,101121.96,PENDING,APP,KANO,VERIFIED
d3783a4d-e03c-4b41-b27a-3ebf2b1cc1bd,MRC-004909,2024-01-10T00:09:35,POS,CARD_TRANSACTION,336219.76,SUCCESS,POS,ENUGU,VERIFIED
5e7d82a8-65ef-4646-8751-196e3cf4f5c5,MRC-009261,2024-01-10T00:09:38,SAVINGS,DEPOSIT,409971.61,SUCCESS,APP,IBADAN,VERIFIED
e5b9fa61-cb6b-41b0-9924-3b33b91b0d7d,MRC-009312,2024-01-10T00:09:48,BILLS,CABLE_TV,11726.05,FAILED,POS,ABUJA,PREMIUM
13eba6ac-0088-45b7-a4fb-f91c440be25e,MRC-006632,2024-01-10T00:10:03,AIRTIME,DATA_PURCHASE,1917.26,SUCCESS,APP,IBADAN,VERIFIED
b70b093d-e404-4007-82b8-36349b0dc1e3,MRC-004712,2024-01-10T00:10:11,KYC,TIER_UPGRADE,0.0,SUCCESS,WEB,IBADAN,PREMIUM
8f474306-75de-43aa-bc81-d642ecb0a571,MRC-000671,2024-01-10T00:10:19,CARD_PAYMENT,SUPPLIER_PAYMENT,428884.85,SUCCESS,WEB,KANO,STARTER
e886ae21-fd4e-49a9-8613-c8861bad6e4b,MRC-005579,2024-01-10T00:10:35,POS,CARD_TRANSACTION,78728.58,SUCCESS,POS,KADUNA,VERIFIED
b1a3ddcc-1e24-4ac8-b463-fff64be0c13c,MRC-008150,2024-01-10T00:10:39,BILLS,BETTING,7905.59,SUCCESS,POS,KADUNA,STARTER
d383f7b0-1010-4204-aab7-7eddd2de7c3d,MRC-005415,2024-01-10T00:10:46,AIRTIME,AIRTIME_PURCHASE,5219.39,SUCCESS,WEB,LAGOS,PREMIUM
4c816a79-c4b9-403f-9b47-78bb16a68d69,MRC-005679,2024-01-10T00:10:56,SAVINGS,WITHDRAWAL,39208.74,SUCCESS,APP,PORT_HARCOURT,VERIFIED
8635d758-4d17-4136-b5ae-534cedd29f98,MRC-009940,2024-01-10T00:10:58,BILLS,WATER,14386.14,SUCCESS,APP,OGUN,STARTER
22682c2c-3f59-47e7-9866-c9d57fcfc42e,MRC-004609,2024-01-10T00:10:59,POS,CARD_TRANSACTION,68696.16,SUCCESS,POS,OGUN,PREMIUM
16ea3d22-8b5d-432a-ae15-949ae5ab704e,MRC-009526,2024-01-10T00:11:23,CARD_PAYMENT,SUPPLIER_PAYMENT,819332.68,SUCCESS,APP,LAGOS,VERIFIED
ad5185ee-d848-4f64-91d5-2cda6824114b,MRC-008112,2024-01-10T00:11:29,KYC,VERIFICATION_COMPLETED,0.0,SUCCESS,APP,ENUGU,VERIFIED
2aae7cc9-1cbf-479a-adcf-3cb42044faf9,MRC-002248,2024-01-10T00:11:34,CARD_PAYMENT,SUPPLIER_PAYMENT,218498.37,SUCCESS,POS,PORT_HARCOURT,VERIFIED
b49916ee-52bb-423d-a555-c46567b10582,MRC-003819,2024-01-10T00:11:44,POS,CARD_TRANSACTION,274151.8,SUCCESS,POS,IBADAN,VERIFIED
